CDM_TBL,src_code,concept_code,src_vocab_code,vocabulary_id,domain_id,target_concept_id
OBS_GEN,384727002,384727002,SNOMED,SNOMED,Observation,4298494
OBS_GEN,1234803000,1234803000,SNOMED,SNOMED,Observation,37157764
OBS_GEN,1285103009,1285103009,SNOMED,SNOMED,Measurement,37168569
OBS_GEN,1290316004,1290316004,SNOMED,SNOMED,Measurement,1244649
OBS_GEN,1285430008,1285430008,SNOMED,SNOMED,Observation,37159051
OBS_GEN,405989003,405989003,SNOMED,SNOMED,Observation,4233918
OBS_GEN,1155983001,1155983001,SNOMED,SNOMED,Measurement,37160147
OBS_GEN,1287137002,1287137002,SNOMED,SNOMED,Observation,1242405
OBS_GEN,6270001000004106,6270001000004106,SNOMED,SNOMED,Measurement,37174483
OBS_GEN,1149026009,1149026009,SNOMED,SNOMED,Observation,607050
OBS_GEN,1149042002,1149042002,SNOMED,SNOMED,Observation,602970
OBS_GEN,397191008,397191008,SNOMED,SNOMED,Observation,4246698
OBS_GEN,1157128007,1157128007,SNOMED,SNOMED,Observation,37156054
OBS_GEN,1279929007,1279929007,SNOMED,SNOMED,Observation,37158872
OBS_GEN,405915001,405915001,SNOMED,SNOMED,Measurement,4226394
OBS_GEN,1296941009,1296941009,SNOMED,SNOMED,Observation,1073092
OBS_GEN,1156440005,1156440005,SNOMED,SNOMED,Measurement,37160226
OBS_GEN,6070001000004100,6070001000004100,SNOMED,SNOMED,Measurement,37173422
OBS_GEN,385421009,385421009,SNOMED,SNOMED,Observation,4299435
OBS_GEN,1285326006,1285326006,SNOMED,SNOMED,Measurement,37154639
OBS_GEN,1155874005,1155874005,SNOMED,SNOMED,Observation,607737
OBS_GEN,1155830008,1155830008,SNOMED,SNOMED,Observation,607709
OBS_GEN,1155981004,1155981004,SNOMED,SNOMED,Measurement,37160146
OBS_GEN,1156512002,1156512002,SNOMED,SNOMED,Measurement,37160251
OBS_GEN,911753681000004106,911753681000004106,SNOMED,SNOMED,Observation,619816
OBS_GEN,1285378009,1285378009,SNOMED,SNOMED,Observation,37154646
OBS_GEN,1279543007,1279543007,SNOMED,SNOMED,Measurement,37168186
OBS_GEN,1285137001,1285137001,SNOMED,SNOMED,Observation,37159005
OBS_GEN,1286756005,1286756005,SNOMED,SNOMED,Observation,37159100
OBS_GEN,911753471000004105,911753471000004105,SNOMED,SNOMED,Observation,619805
OBS_GEN,1275629003,1275629003,SNOMED,SNOMED,Measurement,37168141
OBS_GEN,1269296000,1269296000,SNOMED,SNOMED,Observation,37158780
OBS_GEN,1279506005,1279506005,SNOMED,SNOMED,Measurement,37168151
OBS_GEN,1155797002,1155797002,SNOMED,SNOMED,Observation,607680
OBS_GEN,1279713007,1279713007,SNOMED,SNOMED,Observation,37154603
OBS_GEN,1149012000,1149012000,SNOMED,SNOMED,Observation,607038
OBS_GEN,1155863001,1155863001,SNOMED,SNOMED,Observation,607726
OBS_GEN,1156480001,1156480001,SNOMED,SNOMED,Measurement,37160230
OBS_GEN,1155861004,1155861004,SNOMED,SNOMED,Observation,607725
OBS_GEN,1286924005,1286924005,SNOMED,SNOMED,Measurement,37168871
OBS_GEN,1290309000,1290309000,SNOMED,SNOMED,Measurement,1244645
OBS_GEN,1256118005,1256118005,SNOMED,SNOMED,Measurement,37165971
OBS_GEN,1269082003,1269082003,SNOMED,SNOMED,Observation,37158738
OBS_GEN,1255602007,1255602007,SNOMED,SNOMED,Observation,37154025
OBS_GEN,1268604006,1268604006,SNOMED,SNOMED,Observation,37154445
OBS_GEN,1155817007,1155817007,SNOMED,SNOMED,Observation,607696
OBS_GEN,1285552001,1285552001,SNOMED,SNOMED,Measurement,37168703
OBS_GEN,1287129005,1287129005,SNOMED,SNOMED,Measurement,1244323
OBS_GEN,385009003,385009003,SNOMED,SNOMED,Observation,4297952
OBS_GEN,1286891005,1286891005,SNOMED,SNOMED,Observation,37154707
OBS_GEN,1286929000,1286929000,SNOMED,SNOMED,Observation,1242321
OBS_GEN,1256029007,1256029007,SNOMED,SNOMED,Measurement,37165922
OBS_GEN,1268403005,1268403005,SNOMED,SNOMED,Observation,37154379
OBS_GEN,1286758006,1286758006,SNOMED,SNOMED,Observation,37159102
OBS_GEN,1156430007,1156430007,SNOMED,SNOMED,Measurement,37160217
OBS_GEN,1156497007,1156497007,SNOMED,SNOMED,Measurement,37160243
OBS_GEN,1279540005,1279540005,SNOMED,SNOMED,Measurement,37168183
OBS_GEN,788481000004105,788481000004105,SNOMED,SNOMED,Observation,37159785
OBS_GEN,405990007,405990007,SNOMED,SNOMED,Observation,4237174
OBS_GEN,1286964009,1286964009,SNOMED,SNOMED,Observation,37159131
OBS_GEN,1332064005,1332064005,SNOMED,SNOMED,Measurement,1075774
OBS_GEN,1290313007,1290313007,SNOMED,SNOMED,Measurement,1244648
OBS_GEN,1332062009,1332062009,SNOMED,SNOMED,Measurement,1075772
OBS_GEN,1155802008,1155802008,SNOMED,SNOMED,Observation,603058
OBS_GEN,1156112005,1156112005,SNOMED,SNOMED,Measurement,37169792
OBS_GEN,1178981001,1178981001,SNOMED,SNOMED,Observation,37152178
OBS_GEN,1264484006,1264484006,SNOMED,SNOMED,Observation,37151603
OBS_GEN,1268316009,1268316009,SNOMED,SNOMED,Observation,37154352
OBS_GEN,396324006,396324006,SNOMED,SNOMED,Measurement,4218049
OBS_GEN,1264293005,1264293005,SNOMED,SNOMED,Observation,37158569
OBS_GEN,384625004,384625004,SNOMED,SNOMED,Observation,4293617
OBS_GEN,1149006005,1149006005,SNOMED,SNOMED,Observation,607033
OBS_GEN,1155889001,1155889001,SNOMED,SNOMED,Observation,607752
OBS_GEN,2620001000004108,2620001000004108,SNOMED,SNOMED,Observation,602279
OBS_GEN,1156482009,1156482009,SNOMED,SNOMED,Measurement,37160231
OBS_GEN,1258866006,1258866006,SNOMED,SNOMED,Measurement,37165981
OBS_GEN,1287087007,1287087007,SNOMED,SNOMED,Measurement,1244316
OBS_GEN,1157111009,1157111009,SNOMED,SNOMED,Observation,37151835
OBS_GEN,1812491000004107,1812491000004107,SNOMED,SNOMED,Observation,602269
OBS_GEN,1546611000004107,1546611000004107,SNOMED,SNOMED,Observation,602262
OBS_GEN,1157127002,1157127002,SNOMED,SNOMED,Observation,37156053
OBS_GEN,1255595008,1255595008,SNOMED,SNOMED,Observation,37158254
OBS_GEN,1285295003,1285295003,SNOMED,SNOMED,Observation,37168628
OBS_GEN,3720001000004106,3720001000004106,SNOMED,SNOMED,Measurement,609311
OBS_GEN,1285017003,1285017003,SNOMED,SNOMED,Observation,37168558
OBS_GEN,1546551000004107,1546551000004107,SNOMED,SNOMED,Measurement,37170149
OBS_GEN,1255082005,1255082005,SNOMED,SNOMED,Observation,37158113
OBS_GEN,443527007,443527007,SNOMED,SNOMED,Measurement,40481946
OBS_GEN,1269210005,1269210005,SNOMED,SNOMED,Measurement,37167950
OBS_GEN,1286925006,1286925006,SNOMED,SNOMED,Measurement,37168872
OBS_GEN,706561000004103,706561000004103,SNOMED,SNOMED,Observation,602144
OBS_GEN,1237243006,1237243006,SNOMED,SNOMED,Measurement,37164989
OBS_GEN,1149034003,1149034003,SNOMED,SNOMED,Observation,607057
OBS_GEN,911753781000004104,911753781000004104,SNOMED,SNOMED,Observation,619826
OBS_GEN,1285549009,1285549009,SNOMED,SNOMED,Measurement,37168700
OBS_GEN,371503009,371503009,SNOMED,SNOMED,Measurement,4160350
