CDM_TBL,answer_code,concept_code,src_vocab_code,vocabulary_id,target_concept_id
OBS_GEN,310550016001,,LC,,0
OBS_GEN,340155014023,,LC,,0
OBS_GEN,340170181001,,LC,,0
OBS_GEN,420410116073,,LC,,0
OBS_GEN,460990005003,,LC,,0
OBS_GEN,482015527023,,LC,,0
OBS_GEN,483810211013,,LC,,0
OBS_GEN,5083950100,,LC,,0
OBS_GEN,6001426200,,LC,,0
OBS_GEN,11170303512,,LC,,0
OBS_GEN,170438458032,,LC,,0
OBS_GEN,17089850103,,LC,,0
OBS_GEN,17089850709,,LC,,0
OBS_GEN,171090111002,,LC,,0
OBS_GEN,171978804112,,LC,,0
OBS_GEN,171978811162,,LC,,0
OBS_GEN,18089040302,,LC,,0
OBS_GEN,190130022002,,LC,,0
OBS_GEN,190594511002,,LC,,0
OBS_GEN,19067480400,,LC,,0
OBS_GEN,19153004701,,LC,,0
OBS_GEN,19193000201,,LC,,0
OBS_GEN,20091053603,,LC,,0
OBS_GEN,260992242021,,LC,,0
OBS_GEN,291379601001,,LC,,0
OBS_GEN,38061940400,,LC,,0
OBS_GEN,410359709012,,LC,,0
OBS_GEN,471570085002,,LC,,0
OBS_GEN,481719502001,,LC,,0
OBS_GEN,53061052505,,LC,,0
OBS_GEN,550350016003,,LC,,0
OBS_GEN,060750158012,,LC,,0
OBS_GEN,12081001406,,LC,,0
OBS_GEN,121030269123,,LC,,0
OBS_GEN,121170203012,,LC,,0
OBS_GEN,17031842300,,LC,,0
OBS_GEN,17043846313,,LC,,0
OBS_GEN,170898545093,,LC,,0
OBS_GEN,170999626003,,LC,,0
OBS_GEN,171790221001,,LC,,0
OBS_GEN,190130010003,,LC,,0
OBS_GEN,190610101051,,LC,,0
OBS_GEN,190990406003,,LC,,0
OBS_GEN,19113000103,,LC,,0
OBS_GEN,191154503005,,LC,,0
OBS_GEN,191390507001,,LC,,0
OBS_GEN,19153011304,,LC,,0
OBS_GEN,19155021602,,LC,,0
OBS_GEN,191712905001,,LC,,0
OBS_GEN,191799605001,,LC,,0
OBS_GEN,191839601022,,LC,,0
OBS_GEN,270370608321,,LC,,0
OBS_GEN,310219634001,,LC,,0
OBS_GEN,31109003609,,LC,,0
OBS_GEN,36047051200,,LC,,0
OBS_GEN,36081067100,,LC,,0
OBS_GEN,480291907002,,LC,,0
OBS_GEN,48113007828,,LC,,0
OBS_GEN,510510401002,,LC,,0
OBS_GEN,51540001000,,LC,,0
OBS_GEN,518100448062,,LC,,0
OBS_GEN,80690005042,,LC,,0
OBS_GEN,8123002008,,LC,,0
OBS_GEN,120111103541,,LC,,0
OBS_GEN,170730308003,,LC,,0
OBS_GEN,191130108011,,LC,,0
OBS_GEN,19153010409,,LC,,0
OBS_GEN,191930021011,,LC,,0
OBS_GEN,250235021014,,LC,,0
OBS_GEN,27047180300,,LC,,0
OBS_GEN,311530106361,,LC,,0
OBS_GEN,32003005864,,LC,,0
OBS_GEN,350430107254,,LC,,0
OBS_GEN,380350112011,,LC,,0
OBS_GEN,400137965001,,LC,,0
OBS_GEN,4019004049,,LC,,0
OBS_GEN,4021001715,,LC,,0
OBS_GEN,550439607001,,LC,,0
OBS_GEN,10890110232,,LC,,0
OBS_GEN,11001006900,,LC,,0
OBS_GEN,12095016407,,LC,,0
OBS_GEN,12115002403,,LC,,0
OBS_GEN,170310628001,,LC,,0
OBS_GEN,170318021001,,LC,,0
OBS_GEN,170318057011,,LC,,0
